7,Facebook,10976,909,240,42
12,Facebook,2324,501,279,119
16,Instagram,909,969,68,98
21,Instagram,12649,1256,198,70
24,Facebook,5006,619,45,143
28,Instagram,4512,1707,287,57
31,Facebook,4157,1830,155,84
35,X,2786,63,190,15
36,Instagram,12566,1604,300,59
38,TikTok,2179,1700,103,9
40,Facebook,11587,376,40,81
42,TikTok,12635,1479,28,103
43,Facebook,9435,915,121,69
44,TikTok,1924,746,153,17
45,TikTok,10174,619,45,55
49,Instagram,7412,368,124,146
50,TikTok,1020,490,56,81
53,TikTok,988,1613,199,55
55,Facebook,2035,739,147,128
56,X,4082,259,237,102
57,Facebook,4311,239,191,118
58,Instagram,8779,828,88,37
62,TikTok,10363,248,194,68
68,Instagram,934,785,186,36
69,Instagram,9695,1785,112,64
76,TikTok,3757,754,141,144
77,TikTok,12231,1286,41,138
80,Facebook,11147,591,92,68
82,TikTok,11990,1702,278,150
85,TikTok,9428,138,130,110
102,tiktok,1,1,1,1
